iter	MultiClass
0	1.031592299
1	0.9788199982
2	0.9383107289
3	0.904254942
4	0.8763497139
5	0.853242513
6	0.8349545984
7	0.8182986405
8	0.8031228414
9	0.7899111687
10	0.776928231
11	0.766973534
12	0.7587996658
13	0.7504841464
14	0.7436018417
15	0.7379518653
16	0.732915821
17	0.7289049763
18	0.7246598392
19	0.7201172155
20	0.7168470239
21	0.7144277927
22	0.711735946
23	0.7082804789
24	0.7062842778
25	0.7046392878
26	0.7028749571
27	0.7013178076
28	0.698752827
29	0.6978002973
30	0.6967411361
31	0.6952339509
32	0.6942351732
33	0.692347522
34	0.6915515551
35	0.6897831466
36	0.6890698676
37	0.6882919749
38	0.6875958061
39	0.6865932329
40	0.686039713
41	0.6849748231
42	0.6842794088
43	0.6836503795
44	0.6822421201
45	0.6814338443
46	0.6809835189
47	0.6802694582
48	0.6794851097
49	0.6786730544
50	0.6783002451
51	0.6778187185
52	0.6772872809
53	0.6760758611
54	0.6755281508
55	0.6751839327
56	0.6746978025
57	0.6740996134
58	0.6734819048
59	0.6729188354
60	0.6725208752
61	0.6719755033
62	0.6710210921
63	0.6705873663
64	0.6702680435
65	0.6693320512
66	0.6689236969
67	0.6682414419
68	0.6680226639
69	0.6676989546
70	0.6672776963
71	0.6668379832
72	0.6664788226
73	0.6662293387
74	0.6659227339
75	0.6657741196
76	0.6652846014
77	0.6650201762
78	0.664547722
79	0.6643546832
80	0.6639089205
81	0.6634340703
82	0.6632566537
83	0.6629911127
84	0.6627918876
85	0.6625449482
86	0.6623875906
87	0.6615819217
88	0.6614231812
89	0.6609576224
90	0.6605001696
91	0.6604029313
92	0.6601289968
93	0.6594586784
94	0.6592102281
95	0.6586909343
96	0.6585194819
97	0.6581301105
98	0.6578247762
99	0.6575560407
100	0.6573947792
101	0.6571191481
102	0.6568546909
103	0.6565634182
104	0.6562288705
105	0.6559166726
106	0.6556069124
107	0.655439968
108	0.6551894857
109	0.6549583897
110	0.6547596271
111	0.654510062
112	0.6542779219
113	0.6539389109
114	0.653664841
115	0.6534928146
116	0.6532940935
117	0.6530605183
118	0.6529363074
119	0.6526028127
120	0.6523437619
121	0.6521637637
122	0.6517997759
123	0.6515168268
124	0.6512432141
125	0.6510206464
126	0.6507765195
127	0.6505051462
128	0.6503203791
129	0.6501441159
130	0.6499799881
131	0.6496063677
132	0.6493621538
133	0.6490500916
134	0.6486465367
135	0.6484628538
136	0.6478330866
137	0.6476324857
138	0.6474330677
139	0.6471528136
140	0.6470109324
141	0.6467209132
142	0.6464982769
143	0.6461308092
144	0.6459519453
145	0.6456831447
146	0.6453387611
147	0.6452036075
148	0.6449853779
149	0.6448144477
150	0.6447207416
151	0.644511219
152	0.6442113558
153	0.6439984779
154	0.6437822233
155	0.6435211597
156	0.6432116285
157	0.6429892533
158	0.6427330201
159	0.6425866793
160	0.6422522683
161	0.6419275516
162	0.6415719151
163	0.6414300272
164	0.6412553293
165	0.6410713916
166	0.6409002289
167	0.6404200705
168	0.6402440372
169	0.6398482106
170	0.6396787784
171	0.6393769746
172	0.639199359
173	0.6388018153
174	0.6386026708
175	0.6383813505
176	0.6380924587
177	0.6377750544
178	0.6375773158
179	0.6373626675
180	0.6369276933
181	0.6367264162
182	0.636544908
183	0.6363578775
184	0.6361458265
185	0.6359824385
186	0.6357156385
187	0.6353667766
188	0.6350605808
189	0.6348285216
190	0.6346051323
191	0.6343491642
192	0.6339163989
193	0.6337616363
194	0.633611654
195	0.6333688589
