iter	Passed	Remaining
0	68	68669
1	86	43072
2	103	34436
3	119	29778
4	135	26933
5	147	24449
6	160	22780
7	172	21344
8	182	20107
9	193	19166
10	204	18431
11	216	17813
12	227	17287
13	237	16746
14	247	16281
15	257	15862
16	268	15541
17	278	15184
18	288	14900
19	298	14630
20	307	14355
21	317	14115
22	327	13896
23	336	13672
24	345	13490
25	355	13306
26	365	13153
27	374	13005
28	384	12882
29	393	12727
30	402	12583
31	412	12463
32	421	12360
33	430	12240
34	439	12119
35	449	12036
36	457	11907
37	466	11799
38	473	11674
39	483	11613
40	493	11531
41	502	11458
42	510	11371
43	519	11296
44	529	11235
45	537	11151
46	546	11080
47	554	11006
48	563	10934
49	574	10908
50	582	10837
51	591	10779
52	599	10703
53	608	10656
54	618	10623
55	627	10571
56	635	10508
57	643	10456
58	652	10412
59	662	10372
60	671	10338
61	680	10295
62	689	10256
63	698	10212
64	707	10173
65	717	10150
66	725	10103
67	736	10092
68	744	10044
69	753	10005
70	762	9975
71	771	9940
72	779	9902
73	788	9870
74	796	9825
75	804	9781
76	814	9759
77	823	9730
78	832	9705
79	840	9664
80	849	9640
81	858	9611
82	866	9575
83	874	9537
84	882	9500
85	891	9473
86	899	9443
87	908	9420
88	917	9390
89	926	9364
90	935	9348
91	943	9313
92	952	9288
93	961	9270
94	971	9255
95	983	9261
96	993	9249
97	1003	9237
98	1012	9218
99	1022	9202
100	1030	9173
101	1039	9155
102	1048	9132
103	1057	9111
104	1066	9089
105	1075	9073
106	1085	9056
107	1094	9035
108	1102	9013
109	1112	8999
110	1120	8977
111	1130	8959
112	1139	8942
113	1148	8924
114	1156	8901
115	1165	8884
116	1173	8859
117	1182	8841
118	1191	8821
119	1200	8800
120	1209	8784
121	1218	8771
122	1227	8753
123	1235	8730
124	1244	8708
125	1252	8688
126	1260	8665
127	1268	8641
128	1277	8625
129	1285	8603
130	1293	8583
131	1302	8563
132	1310	8542
133	1319	8526
134	1327	8504
135	1336	8489
136	1345	8474
137	1353	8456
138	1362	8440
139	1370	8419
140	1379	8402
141	1387	8385
142	1396	8370
143	1406	8359
144	1415	8345
145	1423	8326
146	1431	8307
147	1439	8288
148	1448	8270
149	1456	8252
150	1463	8230
151	1472	8216
152	1481	8204
153	1490	8188
154	1499	8174
155	1508	8159
156	1516	8143
157	1525	8130
158	1534	8118
159	1542	8100
160	1552	8088
161	1560	8072
162	1570	8066
163	1579	8054
164	1588	8037
165	1597	8023
166	1605	8009
167	1616	8005
168	1624	7989
169	1633	7976
170	1642	7963
171	1650	7946
